## 1.730000000000000000e+02 5.030000000000000000e+02 1.129000000000000000e+03 1.879000000000000000e+03 2.683000000000000000e+03 3.499000000000000000e+03 5.171000000000000000e+03 8.737000000000000000e+03 1.247900000000000000e+04 1.625300000000000000e+04 3.148900000000000000e+04 4.741700000000000000e+04 6.370900000000000000e+04
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.780346800000000368e-02 3.976143199999999933e-02 7.971656375999999766e-02 3.725385977999999543e-02 8.199776324000000727e-02 1.028865399999999986e-01 7.928834200000001164e-02 5.379420792000000340e-02 4.247135144000000612e-02 5.906601799999999791e-02 3.207469276000000230e-02 2.678364298000000115e-02 2.181795347999999912e-02
1.156069360000000074e-01 5.964214800000000594e-02 1.771479193199999858e-01 1.170835571999999936e-01 1.379053306199999884e-01 2.029151199999999766e-01 1.759814319999999932e-01 1.236122241999999954e-01 1.033736675799999949e-01 1.199778520000000237e-01 7.494680682000000316e-02 5.082565324000000440e-02 4.096752420000000783e-02
3.468208080000000360e-01 1.590457279999999973e-01 2.834366708599999618e-01 2.554550298000000108e-01 2.422661193999999796e-01 3.029436980000000945e-01 2.649390839999999914e-01 2.231887382000000142e-01 1.698854066000000107e-01 1.851965780000000006e-01 1.073390708800000121e-01 7.887466522000000091e-02 6.294244142000000874e-02
5.202312119999999984e-01 2.385685900000000248e-01 3.808680263999999482e-01 3.725385846000000001e-01 3.317182248000000166e-01 4.172620740000000383e-01 3.674337659999999950e-01 3.216206942000000568e-01 2.379998394000000239e-01 2.325724480000000427e-01 1.476706150000000051e-01 1.035493599999999931e-01 8.271986688000000643e-02
6.358381480000000474e-01 2.982107360000000318e-01 4.871567760000000691e-01 4.683342203999999454e-01 4.621692129999999676e-01 4.972849400000000086e-01 4.602591360000000131e-01 4.120407452000000026e-01 3.109223488000000257e-01 2.897926519999999284e-01 1.787925942000000157e-01 1.240061582000000079e-01 1.012415828199999951e-01
6.358381480000000474e-01 4.572564579999999768e-01 5.403011498000001023e-01 5.747738161999998985e-01 5.590756607999999295e-01 5.858816800000000713e-01 5.627538220000000146e-01 5.013162409999999403e-01 3.830435138000000128e-01 3.408601479999999739e-01 2.118200004000000136e-01 1.446738512000000088e-01 1.208620446000000098e-01
8.670520219999999778e-01 6.361829020000000501e-01 7.351638611999999906e-01 6.652474736000000277e-01 7.156168461999999897e-01 6.687625040000000354e-01 6.633146360000000685e-01 5.768570449999999017e-01 4.319256344000000358e-01 3.870054779999999583e-01 2.397662678000000158e-01 1.716683889999999768e-01 1.417382160000000002e-01
