100	 35	rnd	  0	0.0000000
100	 35	clu	  0	0.1202020
100	 35	rnd	  1	0.0000000
100	 35	clu	  1	0.2297980
100	 35	rnd	  2	0.0000000
100	 35	clu	  2	0.0000000
100	 35	rnd	  3	0.0000000
100	 35	clu	  3	0.0000000
100	 35	rnd	  4	0.0000000
100	 35	clu	  4	0.0000000
100	 35	rnd	  5	0.0000000
100	 35	clu	  5	0.0000000
100	 35	rnd	  6	0.0000000
100	 35	clu	  6	0.0000000
100	 35	rnd	  7	0.0000000
100	 35	clu	  7	0.0000000
100	 35	rnd	  8	0.0000002
100	 35	clu	  8	0.0000000
100	 35	rnd	  9	0.0000014
100	 35	clu	  9	0.0000000
100	 35	rnd	 10	0.0000068
100	 35	clu	 10	0.0000000
100	 35	rnd	 11	0.0000296
100	 35	clu	 11	0.0000000
100	 35	rnd	 12	0.0001130
100	 35	clu	 12	0.0000000
100	 35	rnd	 13	0.0003823
100	 35	clu	 13	0.0000000
100	 35	rnd	 14	0.0011484
100	 35	clu	 14	0.0000000
100	 35	rnd	 15	0.0030737
100	 35	clu	 15	0.0000000
100	 35	rnd	 16	0.0073451
100	 35	clu	 16	0.0000000
100	 35	rnd	 17	0.0156942
100	 35	clu	 17	0.0000000
100	 35	rnd	 18	0.0300036
100	 35	clu	 18	0.0000000
100	 35	rnd	 19	0.0513219
100	 35	clu	 19	0.0000000
100	 35	rnd	 20	0.0784924
100	 35	clu	 20	0.0000000
100	 35	rnd	 21	0.1071850
100	 35	clu	 21	0.0000000
100	 35	rnd	 22	0.1303988
100	 35	clu	 22	0.0000000
100	 35	rnd	 23	0.1409041
100	 35	clu	 23	0.0000000
100	 35	rnd	 24	0.1346877
100	 35	clu	 24	0.0000000
100	 35	rnd	 25	0.1132962
100	 35	clu	 25	0.0000000
100	 35	rnd	 26	0.0833060
100	 35	clu	 26	0.0000000
100	 35	rnd	 27	0.0530872
100	 35	clu	 27	0.0000000
100	 35	rnd	 28	0.0289972
100	 35	clu	 28	0.0000000
100	 35	rnd	 29	0.0133811
100	 35	clu	 29	0.0000000
100	 35	rnd	 30	0.0051163
100	 35	clu	 30	0.0000000
100	 35	rnd	 31	0.0015776
100	 35	clu	 31	0.0000000
100	 35	rnd	 32	0.0003770
100	 35	clu	 32	0.0000000
100	 35	rnd	 33	0.0000655
100	 35	clu	 33	0.0000000
100	 35	rnd	 34	0.0000074
100	 35	clu	 34	0.0000000
100	 35	rnd	 35	0.0000004
100	 35	clu	 35	0.6500000
100	 35	rnd	100	0.0000000
100	 35	clu	100	0.0000000
