budget 0 migrated 0 throughput 523.000000 time 0
budget 1 migrated 1 throughput 556.000000 time 1.840189
budget 2 migrated 2 throughput 588.000000 time 1.559184
budget 3 migrated 3 throughput 613.000000 time 3.342426
budget 4 migrated 4 throughput 636.000000 time 2.385058
budget 5 migrated 5 throughput 658.000000 time 4.471091
budget 6 migrated 6 throughput 677.000000 time 8.323510
budget 7 migrated 7 throughput 696.000000 time 12.711520
budget 8 migrated 8 throughput 715.000000 time 17.185566
budget 9 migrated 9 throughput 731.000000 time 14.630269
budget 10 migrated 10 throughput 749.000000 time 16.211297
budget 11 migrated 11 throughput 765.000000 time 26.119872
budget 12 migrated 12 throughput 781.000000 time 38.152279
budget 13 migrated 13 throughput 794.000000 time 74.772684
budget 14 migrated 14 throughput 806.000000 time 242.248246
budget 15 migrated 15 throughput 821.000000 time 278.080257
budget 16 migrated 16 throughput 833.000000 time 277.221681
budget 17 migrated 17 throughput 846.000000 time 188.132843
budget 18 migrated 18 throughput 857.000000 time 266.628347
budget 19 migrated 19 throughput 867.000000 time 567.451909
budget 20 migrated 20 throughput 876.000000 time 982.922384
budget 21 migrated 21 throughput 886.000000 time 1925.802933
budget 22 migrated 22 throughput 895.000000 time 2359.215278
budget 23 migrated 23 throughput 905.000000 time 2904.235408
budget 24 migrated 24 throughput 914.000000 time 3531.588339
budget 25 migrated 25 throughput 923.000000 time 3779.725654
budget 26 migrated 26 throughput 932.000000 time 4371.370405
budget 27 migrated 27 throughput 941.000000 time 6621.837561
budget 28 migrated 28 throughput 948.000000 time 12192.268059
budget 29 migrated 29 throughput 956.000000 time 17619.188419
budget 30 migrated 30 throughput 964.000000 time 20971.147503
