0.880195 tree_2_racks_20_tasks
2.0957 tree_3_racks_30_tasks
51.5434 tree_2_racks_40_tasks
82.4723 tree_4_racks_40_tasks
122.735 tree_3_racks_60_tasks
657.444 tree_5_racks_50_tasks
210.434 tree_2_racks_100_tasks
75.8277 tree_4_racks_80_tasks
153.92 tree_3_racks_150_tasks
106.426 tree_5_racks_100_tasks
347.922 tree_2_racks_200_tasks
114.861 tree_4_racks_200_tasks
302.746 tree_5_racks_250_tasks
458.127 tree_10_racks_100_tasks
1534.13 tree_3_racks_300_tasks
529.2 tree_10_racks_200_tasks
1613.42 tree_4_racks_400_tasks
1992.63 tree_5_racks_500_tasks
2134.93 tree_10_racks_500_tasks
8627.35 tree_10_racks_1000_tasks
