5.39865 tree_2_racks_20_tasks
17.2805 tree_3_racks_30_tasks
96.1357 tree_2_racks_40_tasks
494.975 tree_4_racks_40_tasks
272538 tree_3_racks_60_tasks
112159 tree_5_racks_50_tasks
79300.8 tree_2_racks_100_tasks
6136.23 tree_4_racks_80_tasks
8105.66 tree_3_racks_150_tasks
1373.27 tree_5_racks_100_tasks
12829.8 tree_2_racks_200_tasks
651.912 tree_4_racks_200_tasks
1444.54 tree_5_racks_250_tasks
35365.4 tree_10_racks_100_tasks
99642.4 tree_3_racks_300_tasks
2773.9 tree_10_racks_200_tasks
16298.8 tree_4_racks_400_tasks
8648.53 tree_5_racks_500_tasks
8693.92 tree_10_racks_500_tasks
27366.3 tree_10_racks_1000_tasks
